,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
0,French Montana,100,2012-04-13,Harlem,Shout out to ma niggas in Harlem,"Motthaven, you know, Tremont",Can't call no blocks out there,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1,French Montana,2 Times,,New York,New York undercovers amongst the others,Still watching out for JC and Torres,The family be couple hundred of us,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
2,French Montana,50's & 100's,2016-11-05,Bronx,Who run it? (South Bronx),"40 cars, 40 chains2Embed"", ""50's & 100's Lyrics[Intro: DJ Paul & Juicy J]","Who run it? (North Memphis, let me chirp these fools)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
3,French Montana,50's & 100's,2016-11-05,South Bronx,Who run it? (South Bronx),"40 cars, 40 chains2Embed"", ""50's & 100's Lyrics[Intro: DJ Paul & Juicy J]","Who run it? (North Memphis, let me chirp these fools)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
4,French Montana,Bag,,New York,"Talk about New York, big estate","And grab a casket, my chest christens in the laughter",Got the bank and I ain't fit (That's a stash),"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.286,0.0,0.714,0.4939
5,French Montana,Bag,,New York,Runnin' through New York with a strap (That's a fact),[Verse 2: French Montana],"'Cause we comin' for they head, not they chaps (That's a fact)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
6,French Montana,Big Cap,2012-04-13,Bronx,"South Bronx, Pun, stab him like Un","Shout to Diddy for the flavor, Hova, where the shank at?","Or that ""Machine Gun Funk"", Big Poppa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
7,French Montana,Big Cap,2012-04-13,South Bronx,"South Bronx, Pun, stab him like Un","Shout to Diddy for the flavor, Hova, where the shank at?","Or that ""Machine Gun Funk"", Big Poppa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
8,French Montana,Big Cap,2012-04-13,Jersey,Kept the mansion in Jersey for the May weather,"Shawty sucked it out the condom, kissed hubby in the mouth, ah",Still copped a new mansion in Vegas by Mayweather,"{'neg': 0.192, 'neu': 0.641, 'pos': 0.167, 'compound': -0.1027}",0.167,0.192,0.641,-0.1027
9,French Montana,Bust It Open,2017-07-14,East Coast,East Coast - Bust it open,[Outro],Down South - Bust it open,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
10,French Montana,Bust It Open,2017-07-14,West Coast,West Coast - Bust it open,Down South - Bust it open,Midwest - Bust it open,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
11,French Montana,Coke Wave Boys,2009-04-19,Broadway,"Hit up Broadway, call up Gato","If you need that work, tato","We in them jets, two hours to Cabo","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
12,French Montana,Coke Wave Boys,2009-04-19,Brooklyn,Too many potholes out there in Brooklyn,Four door Lambo needs suspension,"Too many loops from Harry Fraud, hood shit","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
13,French Montana,Corner,2015-05-08,Harlem,"Carbon in the front, skrrt on the bridge to Harlem","Stunting on the stunners, smoking out the whips","You stepped on carpet, the flag","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
14,French Montana,Day Dreamin,2014-11-11,Harlem,"Harlem nights, flat screen, call ya wife",It's sort of like all the real niggas had the same thought of life,"No, I never spoil 'em, never dog 'em on a sober night","{'neg': 0.145, 'neu': 0.723, 'pos': 0.133, 'compound': -0.0498}",0.133,0.145,0.723,-0.0498
15,French Montana,Dontchu,2012-11-19,NYC,We be's the hottest out in NYC,What up my G?,"Watch, run through, they gon' talk about it later","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
16,French Montana,Double G,,Bronx,"South Bronx, King Arthur, go and grab a chip (Hey)","Millionaires, all my niggas fly in this (Woo, ayy)","Where it\'s fire, there\'s smoke (Woo), G5\'s in the air","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}",0.0,0.231,0.769,-0.34
17,French Montana,Double G,,South Bronx,"South Bronx, King Arthur, go and grab a chip (Hey)","Millionaires, all my niggas fly in this (Woo, ayy)","Where it\'s fire, there\'s smoke (Woo), G5\'s in the air","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}",0.0,0.231,0.769,-0.34
18,French Montana,Drink Freely,2012-11-19,Brooklyn,"Bless me, screaming out Brooklyn. I'm sure they heard me","Rook move capture your queen, you couldn't check me","Look boy, celebrity chicks bow down and serve me","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
19,French Montana,Empire,2021-11-19,America,Young American me,Half of my bitches richer than me,Shit be scary to see,"{'neg': 0.317, 'neu': 0.407, 'pos': 0.276, 'compound': -0.128}",0.276,0.317,0.407,-0.128
20,French Montana,Formula,2020-11-20,New York,New York got the formula,Lee Milla have the formula,UK got the formula,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
