,Artist,Song Name,GPE,Line,Line Before,Line After
0,French Montana,Unforgettable,Montana,[Verse 1: French Montana],Tryna do what lovers do,Feelin' like I'm fresh out; Boosie (Boosie)
1,French Montana,Unforgettable,Montana,[Refrain: Swae Lee & French Montana],"'Cause I pulled out a million cash, told her plank on it",And you are unforgettable
2,French Montana,Unforgettable,Montana,[Verse 2: French Montana],Tryna do what lovers do,You ain't enough for me
3,French Montana,Unforgettable,Montana,[Refrain: Swae Lee & French Montana],"Baby girl, work your body, work your body",And you are unforgettable
4,French Montana,Unforgettable,Montana,[Chorus: Uncle Luke & French Montana],,"Don\'t stop, pop that, don\'t stop"
5,French Montana,Unforgettable,Montana,[Verse 1: French Montana],What you twerkin\' with?,"Ayy, ayy, ayy, ayy, Montana!"
6,French Montana,Unforgettable,Montana,"Ayy, ayy, ayy, ayy, Montana!",[Verse 1: French Montana],Work-work-work-work-work-work
7,French Montana,Unforgettable,Montana,"[Chorus: Uncle Luke, French Montana & Rick Ross]",,"Don\'t stop, pop that, don\'t stop"
8,French Montana,Unforgettable,New England,"Ballin\', ballin\' like I play for New England","Film it, film it, this bitch want me to film it","Spend it, spend it, spend a stack every minute"
9,French Montana,Unforgettable,Toronto,"OVO that\'s major shit, Toronto with me that\'s mayor shit",And I\'m pickin\' up the keys to the bitch right now,"Gettin cheddar packs like K.D., OKC that\'s player shit"
10,French Montana,Unforgettable,K.D.,"Gettin cheddar packs like K.D., OKC that\'s player shit","OVO that\'s major shit, Toronto with me that\'s mayor shit","We don\'t dress alike, we don\'t rap alike"
11,French Montana,Unforgettable,OKC,"Gettin cheddar packs like K.D., OKC that\'s player shit","OVO that\'s major shit, Toronto with me that\'s mayor shit","We don\'t dress alike, we don\'t rap alike"
12,French Montana,Unforgettable,Montana,[Chorus: Uncle Luke & French Montana],,"Don\'t stop, pop that, don\'t stop"
13,French Montana,Unforgettable,Montana,"It\'s French Montana, fuck Joe",Then beat that pussy like Klitschko,"It\'s Weezy F, fuck hoes"
14,French Montana,Unforgettable,Montana,"[Chorus: Uncle Luke, French Montana & Lil Wayne]",,"Don\'t stop, pop that, don\'t stop"
15,French Montana,Unforgettable,Montana,"Young Moolah, baby!64Embed', 'No Stylist Lyrics[Intro: French Montana, Mountain & Kodak Black]",What you twerkin\' with?,Ooh
16,French Montana,Unforgettable,London,"I\'m in London, got my beat from London","Hey, hey",
17,French Montana,Unforgettable,London,"I\'m in London, got my beat from London","Hey, hey",
18,French Montana,Unforgettable,Montana,[Chorus: French Montana],,"Iced out (Stylist), no stylist (Stylist)"
19,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,Louder
20,French Montana,Unforgettable,Hong Kong,"Hong Kong, Morocco, I’m here",Lear jets pickin’ up,No stylist
