,Name,Categories,URL,Years Active Start,Birthdate,Summary,Years Active End,Deathdate,Clip Example YouTube,City,Neighborhood,Coordinates,Lat,Lon
10,French Montana,rapper,https://en.wikipedia.org/wiki/French_Montana,2002.0,1984-11-09,"Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is an American hip hop recording artist. Born in Morocco, he immigrated to the United States with his family when he was 13 years old.",,,https://www.youtube.com/embed/sVReXN2sFck,New York,South Bronx,"40.8172437,-73.9251209",40.8172437,-73.9251209
13,A$AP Rocky,rapper,https://en.wikipedia.org/wiki/ASAP_Rocky,2007.0,1988-10-03,"Rakim Mayers (born October 3, 1988), better known by his stage name ASAP Rocky (stylized as A$AP Rocky), is an American rapper from the Harlem, New York. He is a member of the hip hop group A$AP Mob, from which he adopted his moniker.",,,https://www.youtube.com/embed/fLCf-URqIf0,New York,Harlem,"40.8047574,-73.9551409",40.8047574,-73.9551409
15,Nicki Minaj,rapper;singer,https://en.wikipedia.org/wiki/Nicki_Minaj,,,"Onika Tanya Maraj (born December 8, 1982), known professionally as Nicki Minaj, is a Trinidadian-born American rapper, singer, and songwriter.",,,https://www.youtube.com/embed/LDZX4ooRsWs,New York,Queens,"40.674942,-73.791237",40.674942,-73.791237
16,DMX,rapper,https://en.wikipedia.org/wiki/DMX_(rapper),,1970-06-18,"Earl Simmons (born December 18, 1970), professionally known as DMX, is an American rapper, record producer, and actor.",,,https://www.youtube.com/embed/thIVtEOtlWM,Yonkers,School Street Project,"40.929818,-73.894868",40.929818,-73.894868
18,Dead Prez,group,https://en.wikipedia.org/wiki/Dead_Prez,1996.0,,"Dead Prez, is a hip hop duo from the United States, composed of stic.man and M-1, formed in 1996 in New York City. They are known for their confrontational style, combined with socialist lyrics focused on both militant social justice, Marxism, and Pan-Africanism. The duo maintains an ethical stance against corporate control over the media, especially hip hop record labels.",,,https://www.youtube.com/embed/oiusDE0KND8,New York,,"40.76276,-73.988828",40.76276,-73.988828
40,El-P,producer;rapper,https://en.wikipedia.org/wiki/El-P,1993.0,1975-03-02,"Jaime Meline (born March 2, 1975), better known by his stage name El-P, is an American hip hop recording artist, record producer. In 2013, he formed the hip-hop duo Run the Jewels with collaborator Killer Mike.",,,https://www.youtube.com/embed/4Yjhpp22ygs,Brooklyn,,"40.690284,-73.984371",40.690284,-73.984371
43,Chuck D,producer;rapper,https://en.wikipedia.org/wiki/Chuck_D,,,"Carlton Douglas Ridenhour (born August 1, 1960), known professionally as Chuck D, is an American rapper, author, and producer member of the rap group Public Enemy.",,,,Long Island,Roosevelt,"40.682377,-73.582796",40.682377,-73.582796
47,Redman,rapper,https://en.wikipedia.org/wiki/Redman_(rapper),,,"Reginald ""Reggie"" Noble (born April 17, 1970), better known by his stage name Redman, is an American rapper, DJ, record producer, and actor. He rose to fame in the early 1990s as an artist on the Def Jam label.",,,https://www.youtube.com/embed/ZBNh2PPqlJs,Newark,Brick City,"40.73564,-74.213194",40.73564,-74.213194
51,Desiigner,rapper,https://en.wikipedia.org/wiki/Desiigner,2014.0,,"Sidney Royel Selby III (born May 3, 1997), better known by his stage name Desiigner, is an American recording rapper from Brooklyn, New York.",,,https://www.youtube.com/embed/E5ONTXHS2mM,Brooklyn,Bedford–Stuyvesant,"40.688132,-73.945766",40.688132,-73.945766
66,A Tribe Called Quest,group,https://en.wikipedia.org/wiki/A_Tribe_Called_Quest,,,"A Tribe Called Quest is an American hip-hop group formed in 1985 and originally composed of MC and producer Q-Tip, the late MC Phife Dawg and DJ and producer Ali Shaheed Muhammad.",,,https://www.youtube.com/embed/1QWEPdgS3As,New York,Queens,"40.6916,-73.7624",40.6916,-73.7624
67,Kurtis Blow,rapper,https://en.wikipedia.org/wiki/Kurtis_Blow,,,"Kurt Walker (born August 9, 1959), professionally known by his stage name Kurtis Blow, is an American rapper and record producer.",,,https://www.youtube.com/embed/FcLITA7Ugw0,New York,Harlem,"40.81573,-73.94133",40.81573,-73.94133
80,Iceberg Black,producer / dj;rapper,https://www.facebook.com/pg/tesfathetwin/about/?ref=page_internal,2014.0,,"Iceberg black is an american rapper & producer from Crown Heights Brooklyn, New York.",,,https://www.youtube.com/embed/Y7OPDDWWSPg,Brooklyn,Crown Heights,"40.670641,-73.943575",40.670641,-73.943575
88,Cormega,rapper,https://en.wikipedia.org/wiki/Cormega,1990.0,1970-04-26,"Cory McKay (born April 26, 1970), better known by his stage name Cormega, is an American rapper and songwriter from Brooklyn, New York.",,,https://www.youtube.com/embed/z5nZtPz7F18,Brooklyn,,"40.664684,-73.955178",40.664684,-73.955178
94,The Sugarhill Gang,group,https://en.wikipedia.org/wiki/The_Sugarhill_Gang,,,"The Sugarhill Gang is an American hip hop group, known mostly for its 1979 hit ""Rapper's Delight,"" the first rap single to become a Top 40 hit on the Billboard Hot 100.",,,https://www.youtube.com/embed/mcCK99wHrk0,Englewood,,"40.89204,-73.976025",40.89204,-73.976025
95,DJ Kool Herc,producer,https://en.wikipedia.org/wiki/DJ_Kool_Herc,,,"Clive Campbell (born 16 April 1955), better known by his stage name DJ Kool Herc, is a Jamaican-American DJ who is credited with originating hip hop music in the early 1970s in The Bronx, New York City.",,,https://www.youtube.com/embed/Kb3Tg0N2k7M,New York,Bronx,"40.847078,-73.924342",40.847078,-73.924342
108,Kool G Rap,rapper,https://en.wikipedia.org/wiki/Kool_G_Rap,1986.0,1968-07-20,"Nathaniel Thomas Wilson (born July 20, 1968), better known by his stage name Kool G Rap, is an American rapper from LeFrak City, Queens. He began his career in the mid-1980s as one half of the group Kool G Rap & DJ Polo and as a member of the Juice Crew.",,,https://www.youtube.com/embed/j6VmV3D-7D4,Queens,LeFrak City,"40.736308,-73.860869",40.736308,-73.860869
112,RZA,producer;rapper,https://en.wikipedia.org/wiki/RZA,,,"Robert Fitzgerald Diggs, better known by his stage name RZA (/ˈrɪzə/ riz-ə), is an American rapper, record producer, musician, actor, filmmaker and author.",,,https://www.youtube.com/embed/CE3hb__ylG4,New York,Brooklyn,"40.6267,-74.006393",40.6267,-74.006393
131,De La Soul,group,https://en.wikipedia.org/wiki/De_La_Soul,1987.0,,"De La Soul is an American hip hop trio formed in 1987 on Long Island, New York, formed by Posdnuos, Dave and Maseo.",,,https://www.youtube.com/embed/gC1xuVCBl4o,New York,Long Island,"40.670466,-73.412484",40.670466,-73.412484
137,Black Moon,group,https://en.wikipedia.org/wiki/Black_Moon_(group),1992.0,,"Black Moon is an American hip hop group, composed of members Buckshot, 5ft and DJ Evil Dee (of Da Beatminerz). The group was most notable for their debut album Enta da Stage, and their affiliation with the Boot Camp Clik.",2006.0,,https://www.youtube.com/embed/prG2xT9CWgQ?list=RDprG2xT9CWgQ,New York,Brooklyn,"40.695718,-73.917474",40.695718,-73.917474
144,Mobb Deep,group,https://en.wikipedia.org/wiki/Mobb_Deep,,,Mobb Deep is an American hip hop duo from the Queensbridge Houses in New York City. The group consists of Havoc (born Kejuan Muchita) and Prodigy (born Albert Johnson) .,,,https://www.youtube.com/embed/yoYZf-lBF_U,Queens,Queensbridge,"40.754335,-73.94694",40.754335,-73.94694
