Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
68797,445 GERARD AVENUE,Multifamily Incentives Program,2020-12-31T00:00:00.000,,991233,445,GERARD AVENUE,Bronx,10451,2023510012,,BX-01,8,63,BX63,40.817398,-73.929872,40.81754,-73.930096,,New Construction,No,Non Prevailing Wage,0,0,71,0,0,0,2,49,20,0,0,0,0,0,71,0,71,338
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41403,143,WEST 140 STREET,Manhattan,10030,1020090018,1060064,MN-10,9,230,MN03,40.817879,-73.939944,40.81794,-73.939572,,Preservation,Yes,Non Prevailing Wage,27,22,5,0,0,1,0,14,27,7,7,0,0,0,55,0,55,55
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41405,151,WEST 140 STREET,Manhattan,10030,1020090012,1060063,MN-10,9,230,MN03,40.817947,-73.940113,40.81811,-73.939969,,Preservation,Yes,Non Prevailing Wage,4,48,2,0,0,1,0,21,20,7,7,0,0,0,55,0,55,55
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41431,227,WEST 140 STREET,Manhattan,10030,1020260014,1060404,MN-10,9,230,MN03,40.818904,-73.942389,40.81937,-73.942952,,Preservation,Yes,Non Prevailing Wage,3,16,0,0,0,1,0,3,13,4,0,0,0,0,20,0,20,20
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41436,233,WEST 140 STREET,Manhattan,10030,1020260009,1060401,MN-10,9,230,MN03,40.818953,-73.942508,40.81947,-73.943172,,Preservation,Yes,Non Prevailing Wage,12,16,2,0,0,1,0,6,17,8,0,0,0,0,31,0,31,31
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41511,226,WEST 141 STREET,Manhattan,10030,1020260053,1060421,MN-10,9,230,MN03,40.819513,-73.94194,40.81964,-73.942833,,Preservation,Yes,Non Prevailing Wage,2,6,4,1,0,0,0,3,10,0,0,0,0,0,13,0,13,13
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41512,228,WEST 141 STREET,Manhattan,10030,1020260054,1060422,MN-10,9,230,MN03,40.819529,-73.94198,40.81969,-73.942952,,Preservation,Yes,Non Prevailing Wage,3,7,2,0,0,1,0,5,8,0,0,0,0,0,13,0,13,13
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,41513,230,WEST 141 STREET,Manhattan,10030,1020260056,1060423,MN-10,9,230,MN03,40.819549,-73.94202,40.81974,-73.943067,,Preservation,Yes,Non Prevailing Wage,1,10,2,0,0,0,0,1,10,2,0,0,0,0,13,0,13,13
69305,3415 KNOX PLACE.GHPP.FY21,Multifamily Finance Program,2020-12-31T00:00:00.000,,90266,3415,KNOX PLACE,Bronx,10467,2033240089,2017696,BX-07,11,421,BX43,40.88173,-73.883746,40.88176,-73.884061,,Preservation,No,Non Prevailing Wage,0,2,22,0,0,1,0,24,0,1,0,0,0,0,25,0,25,25
69330,414 GERARD AVENUE,Multifamily Incentives Program,2020-12-31T00:00:00.000,,993841,414,GERARD AVENUE,Bronx,10451,2023500001,,BX-01,17,63,BX63,40.817096,-73.92997,40.81712,-73.929605,,New Construction,No,Non Prevailing Wage,0,0,43,0,0,0,0,27,16,0,0,0,0,0,43,0,43,206
70165,BROOK AND BROWN HDFC,Multifamily Finance Program,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,52669,199,BROOK AVENUE,Bronx,10454,2022640014,2000029,BX-01,8,25,BX39,40.806528,-73.919989,40.8066,-73.920296,2020-12-31T00:00:00.000,Preservation,No,Non Prevailing Wage,14,1,1,0,0,0,0,5,10,1,0,0,0,0,16,0,16,16
70165,BROOK AND BROWN HDFC,Multifamily Finance Program,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,52670,205,BROOK AVENUE,Bronx,10454,2022640012,2000028,BX-01,8,25,BX39,40.806685,-73.919873,40.80678,-73.920155,2020-12-31T00:00:00.000,Preservation,No,Non Prevailing Wage,36,3,1,0,0,0,0,23,16,1,0,0,0,0,40,0,40,40
70165,BROOK AND BROWN HDFC,Multifamily Finance Program,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,52794,198,BROWN PLACE,Bronx,10454,2022640005,2000025,BX-01,8,25,BX39,40.806935,-73.920744,40.80688,-73.920484,2020-12-31T00:00:00.000,Preservation,No,Non Prevailing Wage,13,5,1,0,0,0,4,2,12,1,0,0,0,0,19,0,19,19
70165,BROOK AND BROWN HDFC,Multifamily Finance Program,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,52795,202,BROWN PLACE,Bronx,10454,2022640007,2000026,BX-01,8,25,BX39,40.807003,-73.920693,40.807,-73.920393,2020-12-31T00:00:00.000,Preservation,No,Non Prevailing Wage,17,1,1,0,0,1,0,1,19,0,0,0,0,0,20,0,20,20
