Project ID,Project Name,Project Start Date,Project Completion Date,Extended Affordability Only,Prevailing Wage Status,Planned Tax Benefit,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Senior Units
68797,445 GERARD AVENUE,2020-12-31T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,71,0,0,0,71,0,71,338,0
68866,MAXWELL DEVELOPMENT LP.YR15.FY21,2020-12-31T00:00:00.000,,Yes,Non Prevailing Wage,420c,52,125,17,1,0,5,200,0,200,200,21
69305,3415 KNOX PLACE.GHPP.FY21,2020-12-31T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,2,22,0,0,1,25,0,25,25,4
69330,414 GERARD AVENUE,2020-12-31T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,43,0,0,0,43,0,43,206,0
70165,BROOK AND BROWN HDFC,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,No,Non Prevailing Wage,,80,10,4,0,0,1,95,0,95,95,21
64886,ROCKAWAY VILLAGE PHASE 3,2020-12-30T00:00:00.000,,No,Non Prevailing Wage,420c,89,88,176,0,0,1,354,0,354,354,0
67746,WILLIAM R ANDERSON HDFC.GHPP.FY21,2020-12-30T00:00:00.000,,No,Non Prevailing Wage,Article XI,7,18,6,0,0,1,32,0,32,32,0
69020,RECLAIM HDFC.YR15.FY21,2020-12-30T00:00:00.000,,Yes,Non Prevailing Wage,420c,3,216,46,0,0,8,273,0,273,273,36
63772,BRONX POINT A,2020-12-29T00:00:00.000,,No,Non Prevailing Wage,,163,108,162,108,0,1,542,0,542,542,0
65499,29 WEST STREET,2020-12-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,215,0,0,0,215,0,215,216,0
66751,TWIN PARKS TERRACE,2020-12-29T00:00:00.000,,No,Non Prevailing Wage,420c,46,48,87,0,0,1,182,0,182,182,0
66940,340 SOUTH THIRD STREET HDFC.GHPP.FY21,2020-12-28T00:00:00.000,,No,Non Prevailing Wage,Article XI,31,10,0,0,0,0,41,0,41,41,5
70534,2317 CAMBRELEND AVENUE APARTMENTS,2020-12-24T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,25,0,0,25,0,25,50,0
69230,55 SUFFOLK STREET,2020-12-23T00:00:00.000,,No,Non Prevailing Wage,421a,0,74,0,20,0,0,94,0,94,378,0
67357,993-995 UNION AVENUE CLUSTER,2020-12-22T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,0,0,69,0,2,2,69,71,71,0
70077,THESSALONICA COURT APARTMENTS,2020-12-22T00:00:00.000,,Yes,Non Prevailing Wage,,158,22,10,0,0,1,191,0,191,191,20
70533,53-08 102 STREET,2020-12-22T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0
65304,LINDEN TERRACE BUILDING 2,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,420c,44,36,79,0,0,1,160,0,160,160,0
66722,CALVARY BAPTIST. HUDMF. FY20,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,420c,95,4,0,0,0,1,100,0,100,100,99
66879,COMPASS 6,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,420c,71,60,129,0,0,1,261,0,261,261,0
67599,CONFIDENTIAL,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,,111,18,41,0,0,1,171,0,171,171,0
68125,CUCS. 711 EAST 211TH ST AND 718 EAST 212TH ST.,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,420c,93,18,58,0,0,1,170,0,170,170,0
68132,DOUGLASTON. 2856 WEBSTER AVENUE,2020-12-17T00:00:00.000,,No,Prevailing Wage,420c,187,0,0,0,0,1,188,0,188,188,187
68160,O+O. 1611 & 1701 PURDY STREET. PARKCHESTER GARDENS,2020-12-17T00:00:00.000,,No,Prevailing Wage,420c,220,0,0,0,0,1,221,0,221,221,220
68741,CAMBA. 261 EAST 202 ST & 270 EAST 203 ST,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,420c,226,64,31,0,0,2,323,0,323,323,0
70531,2001 ARTHUR AVENUE APARTMENTS,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,14,0,14,0,14,45,0
70532,21-59 44TH DRIVE,2020-12-17T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,20,0
70489,CONFIDENTIAL,2020-12-16T00:00:00.000,2020-12-16T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70490,CONFIDENTIAL,2020-12-16T00:00:00.000,2020-12-16T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70527,2633 OCEAN AVENUE APARTMENTS,2020-12-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,18,0,18,0,18,60,0
70529,629 EAST 222ND STREET APARTMENTS,2020-12-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
68733,OAK HALL.HRP.FY21,2020-12-14T00:00:00.000,,No,Non Prevailing Wage,,34,31,9,0,0,0,74,0,74,74,0
70525,1225 42ND STREET,2020-12-14T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0
70526,586 & 596 EAST 32ND STREET APARTMENTS,2020-12-14T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,14,0
70523,37-56 103RD STREET,2020-12-11T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0
70524,61 TROUTMAN STREET,2020-12-11T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
68782,PRATT TOWERS INC.PLP.FY21,2020-12-10T00:00:00.000,,No,Non Prevailing Wage,Article II,0,326,0,0,0,1,0,327,327,327,0
70521,885 ROGERS PLAZA,2020-12-04T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,32,0,32,0,32,105,0
70522,855 DEKALB AVENUE APARTMENTS,2020-12-04T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,20,0
67539,2817 ATLANTIC AVENUE,2020-12-03T00:00:00.000,,No,Non Prevailing Wage,421a,0,7,7,0,2,0,16,0,16,68,0
69502,141 NICHOLAS HDFC.YR15.FY21,2020-12-03T00:00:00.000,,Yes,Non Prevailing Wage,420c,74,18,2,0,0,0,94,0,94,94,7
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",2020-12-01T00:00:00.000,,No,Non Prevailing Wage,,0,506,1366,0,0,2,0,1874,1874,1874,0
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,2020-11-27T00:00:00.000,,No,Non Prevailing Wage,Article XI,11,36,20,36,95,1,199,0,199,273,7
68409,55-61 SUMMIT,2020-11-25T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,0,5,0,0,0,0,5,5,9,0
70480,CONFIDENTIAL,2020-11-25T00:00:00.000,2020-11-25T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
65467,EHEBCLT,2020-11-23T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,14,0,24,0,0,38,0,38,38,0
70479,CONFIDENTIAL,2020-11-20T00:00:00.000,2020-11-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70520,2265 HUGHES AVENUE APARTMENT,2020-11-20T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,16,0
70519,91 FRANKLIN AVENUE APARTMENTS,2020-11-18T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
69284,WHGA ROBINSON PARK HDFC.HPO.FY21 (SCHREIBER),2020-11-17T00:00:00.000,,No,Non Prevailing Wage,Article XI,2,29,65,84,0,2,182,0,182,182,7
70518,27-15 ASTORIA BOULEVARD APARTMENTS,2020-11-17T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,20,0
70476,CONFIDENTIAL,2020-11-16T00:00:00.000,2020-11-16T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70517,45-57 DAVIS STREET APARTMENTS,2020-11-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,48,0,48,0,48,158,0
70566,23-81 21ST STREET,2020-11-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70569,24 WILSON AVENUE,2020-11-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,16,0
67672,TBX1004 - FORDHAM BEDFORD - PARK GATES,2020-11-13T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,0,73,0,0,2,75,0,75,75,0
70516,312 BROADWAY,2020-11-13T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,24,0
70078,1516 BEDFORD.HPO.FY21,2020-11-12T00:00:00.000,,No,Non Prevailing Wage,,1,3,1,11,0,0,16,0,16,16,0
70515,CENTENNIAL ASTORIA APARTMENTS,2020-11-12T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,14,0,14,0,14,45,0
70474,CONFIDENTIAL,2020-11-10T00:00:00.000,2020-11-10T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70512,260 GOLD STREET APARTMENTS,2020-11-10T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,86,0,86,0,86,286,0
70513,46 MELROSE STREET,2020-11-10T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70514,722 HINSDALE STREET APARMENTS,2020-11-10T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70511,ROOSEVELT PARC APARTMENTS,2020-11-09T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,47,0,47,0,47,154,0
70509,834 PACIFIC STREET,2020-11-05T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,34,0,34,0,34,113,0
70510,3915 14TH AVENUE,2020-11-05T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70508,27 BUCHANAN PLACE,2020-11-04T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,25,0
70507,25-22 30TH DRIVE,2020-11-02T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,10,0,10,0,10,31,0
70377,CONFIDENTIAL,2020-10-29T00:00:00.000,2020-10-09T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70399,CONFIDENTIAL,2020-10-29T00:00:00.000,2020-10-29T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70506,2502 & 2506 NEWKIRK AVENUE,2020-10-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,16,0
70505,1027 REVEREND JAMES POLITE AVENUE APARTMENTS,2020-10-28T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,18,0
70503,36-08 28TH AVENUE APARTMENTS,2020-10-27T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,22,0
70504,2278 BRONX PARK EAST,2020-10-27T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,10,0,10,0,10,33,0
67510,ROSE CASTLE,2020-10-26T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,13,13,49,0,75,0,75,86,0
70502,23-61 31ST STREET APARTMENTS,2020-10-26T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
66212,BRKG GND. 90 SANDS STREET,2020-10-22T00:00:00.000,,No,Non Prevailing Wage,Article XI,314,9,18,149,0,1,491,0,491,491,0
68497,HELP. 1210 SIMPSON STREET. HOME SIMPSON,2020-10-22T00:00:00.000,,No,Non Prevailing Wage,420c,44,0,27,0,0,1,72,0,72,72,0
70540,VITAL BROOKLYN HERKIMER,2020-10-22T00:00:00.000,,No,Non Prevailing Wage,420c,57,35,28,0,0,1,121,0,121,121,0
70023,ALBANY KINGSTON HDFC,2020-10-21T00:00:00.000,,Yes,Non Prevailing Wage,,150,38,33,0,0,3,224,0,224,224,1
70543,SEAVIEW TOWERS,2020-10-21T00:00:00.000,,No,Non Prevailing Wage,,0,0,403,0,57,2,462,0,462,462,0
70379,CONFIDENTIAL,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70393,CONFIDENTIAL,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,No,Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70398,CONFIDENTIAL,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70400,CONFIDENTIAL,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
68496,FAIRSTEAD. 117 W 79 ST,2020-10-16T00:00:00.000,,No,Prevailing Wage,420c,77,0,0,0,0,1,78,0,78,78,77
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,2020-10-16T00:00:00.000,,No,Non Prevailing Wage,Article XI,210,26,71,204,0,3,514,0,514,679,0
68859,241 WEST 28TH STREET,2020-10-15T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,96,0,0,0,96,0,96,480,0
68405,CG TRIO LLC.PILLARS.FY21 (CARROLL GARDENS),2020-10-14T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,14,13,3,1,0,31,0,31,31,4
68296,EVERGREEN AND TIEBOUT LLC.PILLARS.FY21,2020-10-13T00:00:00.000,,No,Non Prevailing Wage,Article XI,10,23,81,3,0,1,118,0,118,118,17
70501,148 BLEECKER STREET APARTMENT,2020-10-13T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,26,0
70378,CONFIDENTIAL,2020-10-09T00:00:00.000,2020-10-09T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
68351,1414 WALTON LLC.PILLARS.FY21,2020-10-06T00:00:00.000,,No,Non Prevailing Wage,Article XI,7,36,17,0,0,0,60,0,60,60,6
70500,33-29 103 STREET APARTMENTS,2020-10-05T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70496,1780 SHEEPSHEAD BAY ROAD,2020-10-02T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,23,0
51175,BROOK 156,2020-10-01T00:00:00.000,,No,Non Prevailing Wage,420c,15,14,19,3,0,1,52,0,52,52,0
70375,CONFIDENTIAL,2020-10-01T00:00:00.000,2020-10-01T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70499,222 EAST 44TH STREET PHASE II,2020-10-01T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,16,0,0,16,0,16,429,0
70567,THE COVE 43-12 HUNTER STREET,2020-10-01T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,37,0,37,0,37,123,0
