,Title,Album,Artist,Release_Date,City,State,County,Country,Lyrics
0,Spot Rusherz,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro: Wu-Tang's St. Ides commercial plays in the backgrou...
1,Guillotine (Swordz),Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro 1: sample]
2,Knowledge God,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro]
3,Striving For Perfection,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Album Intro: Ghostface Killah (Raekwon)]
4,Wu-Gambinos,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro: ‘The Killer’ sample]
5,Verbal Intercourse,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,"[Intro: Raekwon, Nas & Ghostface Killah]"
6,Incarcerated Scarfaces,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Skit]
7,Ice Water,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro: Ghostface]
8,Heaven & Hell,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Blue Raspberry]
9,Knuckleheadz,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,"[Intro: Raekwon, Ghostface Killah, U-God]"
10,Criminology,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro: Sample + Raekwon]
11,Rainy Dayz,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro: Blue Raspberry]
12,Ice Cream,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Produced by RZA]
13,Can It Be All So Simple (Remix),Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Skit: Raekwon + Ghostface Killah]
14,Baby C'mon,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro: Ol' Dirty Bastard]
15,360 Degrees of Power,360 Degrees of Power,Sister Souljah,1992-06-30,New York,Being both feminine and strong represents no conflict,Afric...,,
16,Umbilical Cord to the Future,360 Degrees of Power,Sister Souljah,1992-06-30,New York,(Intro):,(Man says): We're gonna slow it down at this time,...,
17,Blue Beretta,Strictly Platinum,Princess Superstar,1996-03-01,New York,I was drivin downtown in my blue Beretta,Wonderin' why peop...,,
18,Fried Chicken: A Day in the Life,Strictly Platinum,Princess Superstar,1996-03-01,New York,"Fried Chicken, that's in a bucket",A side a cole slaw then I...,,
19,The Little Freakazoid That Could,CEO,Princess Superstar,1997-10-30,New York,[Verse One],I'm not the baddest or the maddest or the Centr...,,
20,"Cold Tea, LLC",CEO,Princess Superstar,1997-10-30,New York,"Yo, here's a big story 'bout Boston and cold tea",It was me ...,,
21,I'm In Love With the Music Biz,CEO,Princess Superstar,1997-10-30,New York,Good Morning Mr. Sparrow!,I'd say it's a beautiful day!,Rea...,
22,I Got to Get Aloan With You,CEO,Princess Superstar,1997-10-30,New York,See you walking down the street you look so snappy,Come on ...,,
23,Low Down Nigga,Penicillin on Wax,Tim Dog,1991-11-12,New York,"This means war, suckas ya got static",Tim Dog is back to put...,,
24,Phone Conversation W/ Reporter,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Receptionist],Sixty-Four,[Reporter],"Yes, i, can I speak w..."
25,Robin Harris Shit,Penicillin on Wax,Tim Dog,1991-11-12,New York,Fuck Compton,That's where the cost of living's going down,A...,
26,Bronx Nigga,Penicillin on Wax,Tim Dog,1991-11-12,New York,Rollin' around with my 10-man crew,Lookin' for a nigga that...,,
27,Michel'le Conversation,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Tim Dog],"Yeah man, I was fucking this bitch last night",[V...,
28,Dog's Gonna Getcha,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Intro: Tim Dog],Yeah x 3,[Verse 1: Tim Dog],"Pick 'em up, ..."
29,Can't Fuck Around,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Various ad lib],[Intro- Dialogue: Ced Gee],"Hey yo, Dog ma...",
30,I'll Wax Anybody,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Verse 1: Tim Dog],"Grab a pen suckas I riff, and smoke em u...",,
31,DJ Quick Beat Down,Penicillin on Wax,Tim Dog,1991-11-12,New York,"Yo man, there's that punk ass mother fuckin' Quik over ther...",,,
32,Boogie in Your Butt,Eddie Murphy,Eddie Murphy,1982-11-06,New York,"Iiiiiiiiin your butt, put","The boogie in your butt, put, put...",,
33,Love No Ho (Demo),Demo Tape,The Notorious B.I.G.,1991-01-01,New York,New York,Kings,USA,[Intro]
34,Rugged Shit,I Need Drugs,Necro,1998-01-01,New York,Fucking bastards {*Fucker*},I hate all of you,That's right,...
35,Burn the Groove to Death,I Need Drugs,Necro,1998-01-01,New York,"Yo, insult to call your future's casket",I'mma break a casse...,,
36,The Most Sadistic,I Need Drugs,Necro,1998-01-01,New York,[Necro],"Yo, yo, yo, check this shit bitch",For all you slime...,
37,I'm Sick of You,I Need Drugs,Necro,1998-01-01,New York,"Yeah yo, all you bitch ass niggas shady motherfuckers",[Hoo...,,
38,Cuttin' Headz,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Verse 1: Ol' Dirty Bastard (RZA)]
39,Hippa to Da Hoppa,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
40,Don't U Know,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
41,Brooklyn Zoo II,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
42,The Stomp,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro: Ol' Dirty Bastard]
43,Brooklyn Zoo,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Produced by True Master & Ol' Dirty Bastard]
44,Shimmy Shimmy Ya,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
45,Dirty Dancin,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,(Ol Dirty Bastard is doing a Martin Lawrence comedy skit fr...
46,Harlem World,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,"Intro: Ol Dirty Bastard, Shorty Shit Stain, and others"
47,Raw Hide,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro: Ol' Dirty Bastard + (some Caribbean woman)]
48,Drunk Game (Sweet Sugar Pie),Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,(Intro)
49,Let It All Hang Out,The Concrete,A.D.O.R.,1994-01-01,New York,[Produced by Pete Rock],[Pete Rock],Ahhh.. yeahh..,Chillin...
50,One for the Trouble,The Concrete,A.D.O.R.,1994-01-01,New York,[Intro],[Verse 1: A.D.O.R],Back once again with the ill b...,
51,Lunchlady Land,They're All Gonna Laugh At You!,Adam Sandler,1993-03-21,New York,"""This is a song...""","""This is uhh, This is a new song...""","""I...",
52,Pickin' Daisies,What's Your Name?,Adam Sandler,1997-09-16,New York,"[Verse 1: Mom, Adam, Dad, Female Choir]",What's the matter h...,,
53,Red Hooded Sweatshirt,What's Your Name?,Adam Sandler,1997-09-16,New York,My mom bought you when I was just 13,The brightest red swea...,,
54,White Lines (Don't Do It),Now That's What I Call Music 3 [UK],Grandmaster Melle Mel,1984-06-27,New York,[Hook],"(White Lines) Visions, dreams of passion",(Blowing th...,
55,Steady Slangin,Killin' U... For Fun,Wise Intelligent,1995-03-12,New Brunswick,[Verse 1: Wise Intelligent],Ya....,I slung slang,When i ca...
56,Don't Mess Around,I'm Bout It (Original Motion Picture Soundtrack),Fiend,1997-05-20,New Orleans,(Fiend talking),"My Lord, I'm in a bad situation again",First...,
