,Artist,Song Name,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
0,French Montana,Unforgettable,Montana,[Verse 1: French Montana],Tryna do what lovers do,Feelin' like I'm fresh out; Boosie (Boosie),"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.5267}",0.459,0.0,0.541,0.5267
1,French Montana,Unforgettable,Montana,[Refrain: Swae Lee & French Montana],"'Cause I pulled out a million cash, told her plank on it",And you are unforgettable,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
2,French Montana,Unforgettable,Montana,[Verse 2: French Montana],Tryna do what lovers do,You ain't enough for me,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.5267}",0.459,0.0,0.541,0.5267
3,French Montana,Unforgettable,Montana,[Refrain: Swae Lee & French Montana],"Baby girl, work your body, work your body",And you are unforgettable,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
4,French Montana,Unforgettable,Montana,[Chorus: Uncle Luke & French Montana],,"Don\'t stop, pop that, don\'t stop","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
5,French Montana,Unforgettable,Montana,[Verse 1: French Montana],What you twerkin\' with?,"Ayy, ayy, ayy, ayy, Montana!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
6,French Montana,Unforgettable,Montana,"Ayy, ayy, ayy, ayy, Montana!",[Verse 1: French Montana],Work-work-work-work-work-work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
7,French Montana,Unforgettable,Montana,"[Chorus: Uncle Luke, French Montana & Rick Ross]",,"Don\'t stop, pop that, don\'t stop","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
12,French Montana,Unforgettable,Montana,[Chorus: Uncle Luke & French Montana],,"Don\'t stop, pop that, don\'t stop","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
13,French Montana,Unforgettable,Montana,"It\'s French Montana, fuck Joe",Then beat that pussy like Klitschko,"It\'s Weezy F, fuck hoes","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.333,0.0,0.667,0.3612
14,French Montana,Unforgettable,Montana,"[Chorus: Uncle Luke, French Montana & Lil Wayne]",,"Don\'t stop, pop that, don\'t stop","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
15,French Montana,Unforgettable,Montana,"Young Moolah, baby!64Embed', 'No Stylist Lyrics[Intro: French Montana, Mountain & Kodak Black]",What you twerkin\' with?,Ooh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
16,French Montana,Unforgettable,London,"I\'m in London, got my beat from London","Hey, hey",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
17,French Montana,Unforgettable,London,"I\'m in London, got my beat from London","Hey, hey",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
18,French Montana,Unforgettable,Montana,[Chorus: French Montana],,"Iced out (Stylist), no stylist (Stylist)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
19,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,Louder,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
22,French Montana,Unforgettable,Montana,[Chorus: French Montana],"She said I ain\'t got no heart, bitch, find it","Iced out (Stylist), no stylist (Stylist)","{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.7184}",0.0,0.462,0.538,-0.7184
23,French Montana,Unforgettable,Montana,[Verse 2: Drake & French Montana],,(Louder),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
24,French Montana,Unforgettable,Montana,[Chorus: French Montana],,"Iced out (Stylist), no stylist (Stylist)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
25,French Montana,Unforgettable,Montana,[Outro: French Montana],"Louboutin, Jimmy Choo, that\'s on you (Haan)",No stylist,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
26,French Montana,Unforgettable,Montana,"No stylist33Embed', 'No Shopping Lyrics[Chorus: French Montana]",No stylist,"Sippin\' on the drank, sippin\' on the drank (Yeah)","{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",0.0,0.688,0.312,-0.296
27,French Montana,Unforgettable,Montana,[Chorus: French Montana],"Tell them hoes get low, 6 God comin\'","Sippin\' on the drank, sippin\' on the drank (Yeah)","{'neg': 0.228, 'neu': 0.543, 'pos': 0.228, 'compound': 0.0}",0.228,0.228,0.543,0.0
28,French Montana,Unforgettable,Montana,[Verse 2: Drake & French Montana],"Word to the bird, I ain\'t never take her fur shoppin\'","Pump, pump, pump it up (Skrrt)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
29,French Montana,Unforgettable,Montana,[Outro: French Montana],,"The birds want rings and tings, you know","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
30,French Montana,Unforgettable,Montana,"Haan, skrrt, skrrt26Embed', ""Lockjaw Lyrics[Intro: French Montana]","Big up, Six God","My nigga, my go-to","{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.412,0.0,0.588,0.2732
31,French Montana,Unforgettable,Montana,Montana,You never told me,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
32,French Montana,Unforgettable,Montana,[Chorus: Kodak Black & French Montana],,It be hard to watch the cash when the bands keep droppin',"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
33,French Montana,Unforgettable,Montana,[Verse 1: Kodak Black & French Montana],,"I'll chew your lil' mup, I'll boot a nigga up","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
35,French Montana,Unforgettable,Montana,[Chorus: Kodak Black & French Montana],"Bitin' down, 'bout to rip my tongue off",It be hard to watch the cash when the bands keep droppin',"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
36,French Montana,Unforgettable,Montana,[Verse 2: Kodak Black & French Montana],,Slidin' in the Cutlass and you know I paint it candy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
37,French Montana,Unforgettable,Montana,[Chorus: Kodak Black & French Montana],"Nah, baby, I don't want the Wap, I just want the fetty",It be hard to watch the cash when the bands keep droppin',"{'neg': 0.354, 'neu': 0.646, 'pos': 0.0, 'compound': -0.2129}",0.0,0.354,0.646,-0.2129
38,French Montana,Unforgettable,Montana,[Outro: Kodak Black &  French Montana],,"Ayy, ayy, ayy","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
43,French Montana,Unforgettable,Montana,Montana,[Bridge],"I ain't worried 'bout a mothafuckin' thang, nigga","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
44,French Montana,Unforgettable,Montana,"Nigga, I ain't worried 'bout nothin' (haaan)53Embed"", 'Ocho Cinco Lyrics[Chorus: French Montana]","Nigga, I ain't worried 'bout nothin' (nothin')",I see you niggas from the side watchin\',"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.2235}",0.274,0.0,0.726,0.2235
45,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Face down, ass up","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
46,French Montana,Unforgettable,Montana,[Chorus: French Montana],,I see you niggas from the side watchin\',"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
48,French Montana,Unforgettable,Montana,[Chorus: French Montana],And her first choice was the number one boss,I see you niggas from the side watchin\',"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}",0.14,0.0,0.86,0.0772
49,French Montana,Unforgettable,Montana,Ha Ha Ha Ha Ha Ha!!! Montana!!!,"King Combs, now give me crown, bitch30Embed', ""Freaks Lyrics[Intro: Nicki Minaj]",,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}",0.0,0.123,0.877,-0.1027
50,French Montana,Unforgettable,Montana,"[Chorus: Vicious, Nicki Minaj, French Montana]",,"Freak, some gyal a freak a di week, some gyal a -","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
52,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Lights up the fire, you know we get higher","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
54,French Montana,Unforgettable,Montana,"Heard you a freak (haan), put my name on it (Montana, haan)","Let me plank on it, put a drink on it",[Chorus: Vicious],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
56,French Montana,Unforgettable,Montana,[Bridge: French Montana & Nicki Minaj],,"This girl tell me, say she horny","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
59,French Montana,Unforgettable,Montana,[Bridge: French Montana],,"This girl tell me, say she horny","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
