Name;Categories;URL;Years Active Start;Birthdate;Summary;Years Active End;Deathdate;Clip Example YouTube;City;Neighborhood;Coordinates
Watsky;rapper;https://en.wikipedia.org/wiki/George_Watsky;2006;1986-09-15;George Virden Watsky (born September 15, 1986), known professionally as Watsky, is an American hip hop artist, author, and poet from San Francisco, California.;;;https://www.youtube.com/embed/XVQOhIVcMj0;San Francisco;;37.790943,-122.445392
Philthy Rich;rapper;https://en.wikipedia.org/wiki/Philthy_Rich;2007;1983-01-30;"Philip ""Philthy Rich"" Beasley (born 1983) is an American rapper from Oakland, California.";;;https://www.youtube.com/embed/uNqrBUlc9eQ;Oakland;;37.735113,-122.15674
Taïpan;rapper;http://fr.rap-contenders.wikia.com/wiki/Taipan;2004;;Taïpan is a french rapper from Thill, Meurthe et Moselle. He gained notoriety for is performance on Rap Contenders. He used to be a Bomayé Music artist, the Youssoupha's Label.;;;https://www.youtube.com/embed/Elg-01NQz7s;Thill;;49.472725,5.908164
The Doppelgangaz;group;https://en.wikipedia.org/wiki/The_Doppelgangaz;2008;;The Doppelgangaz is an American Hip-Hop group from Orange County, New York consisting of rapper/producer Matter Ov Fact and rapper/producer EP.;;;https://www.youtube.com/embed/kHN8LzYfXmg;Orange County;;41.482909,-74.044964
Ixzo;rapper;;;;Ixzo is a french rapper from Sevran. he is a member of the Tookie Prod.;;;https://www.youtube.com/embed/ClF7yTV94yI;Sevran;;48.935611,2.524423
Melan;rapper;https://genius.com/artists/Melan;2012;;Melan is a French rapper from Toulouse. He is a member of the Omerta-Muzik crew.;;;https://www.youtube.com/embed/yinAUyii33k;Toulouse;;43.577428,1.471291
Rocca;rapper;https://en.wikipedia.org/wiki/Rocca_(French_rapper);1997;1975-04-28;Rocca (full name Sébastian Rocca) is a French-Colombian Rapper and Producer born in April 1975. He gained recognition as a rapper during the 1990s as a part of the rap group, La Cliqua.;;;https://www.youtube.com/embed/UzsSu7ZXLYg;Paris;Porte de Vanves;48.827211,2.305956
Pit Baccardi;rapper;https://fr.wikipedia.org/wiki/Pit_Baccardi;1995;1978-06-09;Guillaume N'Goumou better know has Pit Baccardi, born 9 june 1978 in Cameroun, is a french rapper & producer from Paris. Pit Baccardi is the half brother of the rapper Dosseh.;;;https://www.youtube.com/embed/AN8Tq5E8TlY;Paris;Ménilmontant;48.866268,2.382906
The-Dream;singer;https://en.wikipedia.org/wiki/The-Dream;2001;1977-09-20;Terius Youngdell Nash (born September 20, 1977), better known by his stage name The-Dream, is an American Rapper singer, songwriter and record producer.;;;https://www.youtube.com/embed/AGcQgUnxY14;Atlanta;;33.765124,-84.396917
Young Buck;rapper;https://en.wikipedia.org/wiki/Young_Buck;1993;1981-03-15;David Darnell Brown (born March 15, 1981), best known by his stage name Young Buck, is an American rapper. Buck is a former member of the hip hop group UTP Playas.;;;https://www.youtube.com/embed/Z14grkoI7_4;Nashville;;36.139026,-86.829136
French Montana;rapper;https://en.wikipedia.org/wiki/French_Montana;2002;1984-11-09;Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is an American hip hop recording artist. Born in Morocco, he immigrated to the United States with his family when he was 13 years old.;;;https://www.youtube.com/embed/sVReXN2sFck;New York;South Bronx;40.8172437,-73.9251209
Mac Miller;"producer;rapper;singer";https://en.wikipedia.org/wiki/Mac_Miller;2007;1992-01-19;Malcolm James McCormick (born January 19, 1992), best known by his stage name Mac Miller, is an American rapper.;;;https://www.youtube.com/embed/6bMmhKz6KXg;Pittsburgh;;40.451551,-79.9441933
Le Rat Luciano;rapper;https://en.wikipedia.org/wiki/Le_Rat_Luciano;1992;1976-04-09;Le Rat Luciano, real name Christophe Carmona (born 9 April 1976) is a French rapper from Marseille. He got noticed as a rapper in 1994 when he was part of the group Fonky Family.;;;https://www.youtube.com/embed/2iL5ZggSlXA;Marseille;Le panier;43.298056,5.367778
A$AP Rocky;rapper;https://en.wikipedia.org/wiki/ASAP_Rocky;2007;1988-10-03;Rakim Mayers (born October 3, 1988), better known by his stage name ASAP Rocky (stylized as A$AP Rocky), is an American rapper from the Harlem, New York. He is a member of the hip hop group A$AP Mob, from which he adopted his moniker.;;;https://www.youtube.com/embed/fLCf-URqIf0;New York;Harlem;40.8047574,-73.9551409
Scarface;rapper;https://en.wikipedia.org/wiki/Scarface_(rapper);1988;1970-11-09;Brad Terrence Jordan (born November 9, 1970), better known by his stage name Scarface, is an American rapper, music producer, and author. He hails from Houston, Texas and is a former member of the Geto Boys.;;;https://www.youtube.com/embed/RgyDpXkZfXE;Houston;;29.641606,-95.367102
Nicki Minaj;"rapper;singer";https://en.wikipedia.org/wiki/Nicki_Minaj;;;Onika Tanya Maraj (born December 8, 1982), known professionally as Nicki Minaj, is a Trinidadian-born American rapper, singer, and songwriter.;;;https://www.youtube.com/embed/LDZX4ooRsWs;New York;Queens;40.674942,-73.791237
DMX;rapper;https://en.wikipedia.org/wiki/DMX_(rapper);;1970-06-18;Earl Simmons (born December 18, 1970), professionally known as DMX, is an American rapper, record producer, and actor.;;;https://www.youtube.com/embed/thIVtEOtlWM;Yonkers;School Street Project;40.929818,-73.894868
UGK;group;https://en.wikipedia.org/wiki/UGK;1992;;"UGK (short for Underground Kingz) was an American hip hop duo from Port Arthur, Texas, formed in 1987, by the late Chad ""Pimp C"" Butler and Bernard ""Bun B"" Freeman.";2009;;https://www.youtube.com/embed/i9p34WY_2WI;Port Arthur;;29.8839586,-93.9479217
Dead Prez;group;https://en.wikipedia.org/wiki/Dead_Prez;1996;;Dead Prez, is a hip hop duo from the United States, composed of stic.man and M-1, formed in 1996 in New York City. They are known for their confrontational style, combined with socialist lyrics focused on both militant social justice, Marxism, and Pan-Africanism. The duo maintains an ethical stance against corporate control over the media, especially hip hop record labels.;;;https://www.youtube.com/embed/oiusDE0KND8;New York;;40.76276,-73.988828
