,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
8,French Montana,100,2012-04-13,Harlem,Shout out to ma niggas in Harlem,"Motthaven, you know, Tremont",Can't call no blocks out there,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
14,French Montana,2 Times,,New York,New York undercovers amongst the others,Still watching out for JC and Torres,The family be couple hundred of us,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
16,French Montana,50's & 100's,2016-11-05,South Bronx,Who run it? (South Bronx),"40 cars, 40 chains2Embed"", ""50's & 100's Lyrics[Intro: DJ Paul & Juicy J]","Who run it? (North Memphis, let me chirp these fools)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
95,French Montana,Bag,,New York,"Talk about New York, big estate","And grab a casket, my chest christens in the laughter",Got the bank and I ain't fit (That's a stash),"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.286,0.0,0.714,0.4939
98,French Montana,Bag,,New York,Runnin' through New York with a strap (That's a fact),[Verse 2: French Montana],"'Cause we comin' for they head, not they chaps (That's a fact)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
114,French Montana,Big Cap,2012-04-13,South Bronx,"South Bronx, Pun, stab him like Un","Shout to Diddy for the flavor, Hova, where the shank at?","Or that ""Machine Gun Funk"", Big Poppa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
115,French Montana,Big Cap,2012-04-13,Jersey,Kept the mansion in Jersey for the May weather,"Shawty sucked it out the condom, kissed hubby in the mouth, ah",Still copped a new mansion in Vegas by Mayweather,"{'neg': 0.192, 'neu': 0.641, 'pos': 0.167, 'compound': -0.1027}",0.167,0.192,0.641,-0.1027
211,A$AP Rocky,2 Piece,2013-01-15,New York,I put New York on the map,I put A$AP on my tat,I put the gang on the flames,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
414,A$AP Rocky,2 Piece,2013-01-15,Harlem,And we came to double up on that Harlem shit,All my niggas on the scene like some Sparta shit,"We all eating, this is how it's supposed to go","{'neg': 0.387, 'neu': 0.452, 'pos': 0.161, 'compound': -0.5423}",0.161,0.387,0.452,-0.5423
415,A$AP Rocky,Angels,,Harlem,"Motherfuck Black Land, I brought Harlem back",Brought the Garden back,Rollin\' in my Benzo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
422,A$AP Rocky,Back Home,,Harlem,"We from Harlem, we gave y'all motherfuckers this wave",Over accessorizing out this motherfucker,"Grab y'all surfboards, cause y'all got your boogie boards right now out this motherfucker","{'neg': 0.579, 'neu': 0.421, 'pos': 0.0, 'compound': -0.7579}",0.0,0.579,0.421,-0.7579
428,A$AP Rocky,Brand New Guy,,Harlem,You know us big mouth Harlem niggas don\'t know how to act,"And we are never looking back2Embed"", 'Brand New Guy Lyrics[Intro: A$AP Rocky]",I got my West Coast connection,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
429,A$AP Rocky,Brand New Guy,,West Coast,I got my West Coast connection,You know us big mouth Harlem niggas don\'t know how to act,These dead in the street industry mothafuckas,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}",0.0,0.179,0.821,-0.34
476,A$AP Rocky,Celebration,2011-04-22,New York,"Cali Crip Walk it out, show 'em what New York about","I been down to ATL, I seen how they walk it out",What these niggas hating for? Fuck these niggas hating on?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
479,A$AP Rocky,CEO (Freestyle),2022-01-01,Harlem,And I’m from Harlem so you know we fly high,That’s a 12 gauge handed by the 12th grade,"Buckle up ma you rollin' with a fly guy, cause","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
484,A$AP Rocky,Demons,2018-05-25,Manhattan,"Now we swaggin', makin' money in Manhattan, trick, what’s happenin'?","That one day that my team, we can make it with this rappin'",They try to intellect with indirection just to test you,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
502,Nicki Minaj,Barbie Drip,2008-04-12,New York,"I\'m from New York where we’ll never say, ""Good morning""","I\'m just a bad bitch, I\'m sorry I put you through that",Rippin\' the block and he ain\'t come home \'til the morning,"{'neg': 0.551, 'neu': 0.449, 'pos': 0.0, 'compound': -0.8225}",0.0,0.551,0.449,-0.8225
527,Nicki Minaj,Beef Stew,2008-11-14,New York,"Queens, New York is in the motherfuckin' building, building, building",Dirty Money,"Building, building, building, building, building, haha","{'neg': 0.744, 'neu': 0.256, 'pos': 0.0, 'compound': -0.4404}",0.0,0.744,0.256,-0.4404
535,Nicki Minaj,Beez In The Trap,2009-04-18,New York,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
