,decade,compound,GPE,Unnamed: 0,Artist,Song Name,release date,Line,Line Before,Line After,pos,neg,neu,year
3253,2020.0,0.7906,New York,3253,Busta Rhymes,Flipmode Bitch,2020-10-30,We smashin’ New York to the next town next town,You niggas know we got the best sound best sound,We bang the street don’t need a test ground test ground,0.472,0.135,0.393,2020.0
3252,2020.0,0.7906,New York,3252,Busta Rhymes,Flipmode Bitch,2020-10-30,We smashin’ New York to the next town next town,You niggas know we got the best sound best sound,We bang the street don’t need a test ground test ground,0.472,0.135,0.393,2020.0
3251,2020.0,0.7906,New York,3251,Busta Rhymes,Flipmode Bitch,2020-10-30,We smashin’ New York to the next town next town,You niggas know we got the best sound best sound,We bang the street don’t need a test ground test ground,0.472,0.135,0.393,2020.0
3875,2020.0,0.7269,America,3875,Action Bronson,Consensual Rape,2020-09-25,Trying to live American Dreams...Dusty Rhodes,The forty-four long surely got a trusty home,,0.55,0.0,0.45,2020.0
4340,2020.0,0.6369,West Coast,4340,Ol' Dirty Bastard,Reunited,2020-03-28,"MC Eiht, West Coast, word is bond","Give Snoop my love, E-40","This is family, I don't give a fuck!",0.512,0.0,0.488,2020.0
3349,2020.0,0.6124,Queensbridge,3349,Nas,96 Freestyle,2021-08-06,We\'ll strike back Queensbridge style,"It\'s like that, you know it\'s like that",My mobb deep people is mad foul,0.455,0.0,0.545,2021.0
3350,2020.0,0.6124,Queens,3350,Nas,96 Freestyle,2021-08-06,We\'ll strike back Queensbridge style,"It\'s like that, you know it\'s like that",My mobb deep people is mad foul,0.455,0.0,0.545,2021.0
3644,2020.0,0.5696,New York City,3644,A$AP Ferg,DJ Self Freestyle,2020-09-25,New York City!,Harlem! You should be proud!,,0.479,0.0,0.521,2020.0
3643,2020.0,0.5696,New York,3643,A$AP Ferg,DJ Self Freestyle,2020-09-25,New York City!,Harlem! You should be proud!,,0.479,0.0,0.521,2020.0
3874,2020.0,0.3612,Queens,3874,Action Bronson,Consensual Rape,2020-09-25,About to be a huge star and I'm still in Queens,Your life is cheap like a hooker in the Philippines,You're on the shelf like a figurine,0.238,0.0,0.762,2020.0
3475,2020.0,0.3612,America,3475,Akon,Against the Grain (Full),2020-07-31,You're America's most wanted tonight,So we can dance the night away like it's your day,I'll do my 25 to life,0.2,0.0,0.8,2020.0
4230,2020.0,0.3182,Brooklyn,4230,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,Yo #1 is the Brooklyn Zoo in the muthafucka house?,Please everybody,Yeah!!,0.697,0.0,0.303,2020.0
3464,2020.0,0.296,New York,3464,Nas,Everything ft The Dream,2021-12-24,"Watch me as I walk through the folly, golly, New York to Saudi","I would change everything, oh yeah","In Italy, I\'m Eduardo Wiccari",0.355,0.0,0.645,2021.0
38,2020.0,0.296,Harlem,38,A$AP Rocky,Freestylin 101,2022-01-01,"From Jerz to White Plains to the City of Harlem, um um ahem","Yeah, a couple raps dont make sense",Yeah my rap still,0.306,0.0,0.694,2022.0
3549,2020.0,0.296,Harlem,3549,Rakim,Freestylin 101,2022-01-01,"From Jerz to White Plains to the City of Harlem, um um ahem","Yeah, a couple raps dont make sense",Yeah my rap still,0.306,0.0,0.694,2022.0
256,2020.0,0.296,Brooklyn,256,Redman,Branson Branson,2021-01-01,"Ready, cam, action, whether Brooklyn or Acrinel","You can't be him so click your heels, go back to Annie, yeah","High-o listen like a wire, turn the big apple to cider",0.155,0.0,0.845,2021.0
852,2020.0,0.25,America,852,Aesop Rock,Daylight,2020-11-13,American Nightmare hogging the screen,Duke of early retirement picket dream,I\'ll hold the door open so you can stumble in,0.286,0.0,0.714,2020.0
3876,2020.0,0.2023,Queens,3876,Action Bronson,Contemporary Man,2020-09-25,Straight from Queens rocking leathers like I'm Mr. Cheeks,"Fine dining, drink water out the crystal creek",,0.205,0.0,0.795,2020.0
4236,2020.0,0.0772,Brooklyn,4236,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,Only speaks about Brooklyn Zoo,"Chamber number nine, verse thirty-two",That a—,0.245,0.0,0.755,2020.0
3234,2020.0,0.0772,Broadway,3234,Busta Rhymes,Call the Ambulance,2020-11-27,"Check it, we light shit up like Broadway yo",The way the bitches lookin love THE WAY WE BLOW,The crack-head rappers better just say no,0.261,0.242,0.497,2020.0
4244,2020.0,0.0258,Brooklyn,4244,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Motherfuckers, it\'s the Brooklyn Zoo in the motherfucking house",Niggas don\'t yell like that,"Shit, and uptown in the motherfucking house",0.316,0.304,0.38,2020.0
4233,2020.0,0.0258,Brooklyn,4233,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,Muthafuckas is the Brooklyn Zoo in the muthafuckin house?,Niggas don’t yell like that,"Shit, is Uptown in the muthafuckin house?",0.316,0.304,0.38,2020.0
3954,2020.0,0.0,Staten Island,3954,Method Man,Bridge Boys,2022-05-06,"Staten Island, what up?","Ron Browz, what up?","Hanz, what up?",0.0,0.0,1.0,2022.0
